MAE,MSE,MAPE,Model,Expiry
1.2723656648304162,3.7863981388727805,71.5805622825942,Transformer A (Heston),short
1.8883689522131735,7.161475545971587,44.455547891444716,"Transformer B (GAN, RN)",short
1.2590013044811836,3.551082272472004,90.15630477007647,Transformer C (Mixed+ATM),short
1.088990990009175,3.326580299703126,52.432641641756106,Black-Scholes,short
1.857181361466724,7.233639254166196,48.418455013004476,Transformer A (Heston),medium
2.172964310859983,8.716107441603297,106.05492237182604,"Transformer B (GAN, RN)",medium
1.7598483316728961,5.86612958754036,74.6412629700305,Transformer C (Mixed+ATM),medium
1.8163608324249114,7.389771815812681,55.97202234756718,Black-Scholes,medium
2.2054998090948574,8.688375464876122,38.98122907122487,Transformer A (Heston),long
3.2754330957707327,16.236166125577455,217.83050369750754,"Transformer B (GAN, RN)",long
2.143510127749387,7.440677581701925,72.00707261760274,Transformer C (Mixed+ATM),long
2.8415451623375207,20.39636969187176,53.50204206483835,Black-Scholes,long
